狼少女的异界大冒险||| 萨达哈鲁汪|||http://image.qidian.com/books/3444030/3444030.jpg|||http://www.qidian.com/Book/3444030.aspx|||<p><p><p>                            &nbsp;&nbsp;&nbsp;&nbsp;
<p><p>                            　　有些事，等到失去了之后才会觉得珍惜。
<br>　　比如说，作为孩子时的那种无忧无虑。
<br>　　比如说，还没有成年时为你遮风挡雨的父母的爱意。
<br>　　又比如说……阿姆斯特朗回旋加速喷气式阿姆斯特朗炮。
<br>　　当蛋疼的感觉已成过往，四十五度角仰望明媚而忧伤，他……哦不，是她的咪疼已经逆流成河。
<br>　　综上所述，这是一名点满了编程技能的死宅变身为少女在异界大（sui）冒（jie）险（cao）的故事。
<br>　　话说，变身也就算了（你确定？），为什么是婴儿变身穿？
<br>　　还有，婴儿变身穿也就算了，为啥还要给我安上一个被灭族的孤儿这样中二满满的设定？
<br>　　最后，作者菌你就承认吧被狼养大什么的其实和剧情没关系只不过是你写文之前突然间萌起兽耳了对吧岂可修！
<br>　　…………其实，一开始我是拒绝的，可是一动笔节操duang~~~~就没了。by作者菌
<p><p></p>|||272040字|||84章|||起点中文网15/06/24 18:46|||第二卷 普鲁德之乱　第81章 背叛
