诸天世界轮回路||| 嬴须|||http://image.qidian.com/books/3554901/3554901.jpg|||http://www.qidian.com/Book/3554901.aspx|||<p><p><p>                            &nbsp;&nbsp;&nbsp;&nbsp;
<p><p>                            　　我曾与霍元甲讨论国术，在黑木崖上只为见东方一面。
<br>　　与细雨讨论剑法，与乔峰把酒对饮。
<br>　　我也曾是大竹峰上首席弟子，看着师弟田不易一天一天的成长。
<br>　　也增在黑山老妖手中逃脱生死，在昆仑山琼华剑派习练上清破云剑术。
<br>　　漫漫轮回路，玄都大法师的缺残世界，太上太清道德天尊的足迹……
<br>　　当我捡到那穿梭之球时，就已经注定，踏遍诸天世界……
<br>　　——————
<br>　　这是一本穿梭周天世界的故事，也是挂着羊头卖狗肉的自娱自乐作品。
<br>　　由于本人白天上班忙着挣钱，只能晚上忙完琐事写点，更新什么的不好说。
<p><p></p>|||142200字|||56章|||起点中文网15/08/21 19:33|||第3卷 笑傲江湖，武当门徒　第55章 回雁楼上，剑斩田伯光
