失落的纹章||| 祁风|||http://image.qidian.com/books/3551973/3551973.jpg|||http://www.qidian.com/Book/3551973.aspx|||<p><p><p>                            &nbsp;&nbsp;&nbsp;&nbsp;
<p><p>                            　　深山狩猎为生的小猎人，莫名其妙的撞见一个快死的大叔。
<br>　　结果怀里多了一张带血的羊皮纸，肩头多了一份沉甸甸的责任。
<br>　　先是遇见一个装幽灵恐吓自己的老师，再碰见一位神经质的侏儒。
<br>　　艾泽拉斯大陆与平行位面之间的互动揭开帷幕。
<br>　　故事停留在最经典的六十版本.
<br>　　PS。其实是因为作者之后就AFK了。
<br>　　地底矮人与地精的战争。
<br>　　罪恶之城，雷德·黑手的酒馆，他的双刀依旧神奇。
<br>　　暗影刺客迦罗娜为谁流泪买醉直到天亮。
<br>　　克罗米和壁炉谷不得不说的故事。
<br>　　一切的一切，尽在小猎人伊恩的冒险旅程。
<br>　　新人，新书，多谢捧场。
<br>　　目前已有30W字存稿，绝不太监。
<br>　　所以希望大家多多投票，非常感谢。
<p><p></p>|||109430字|||33章|||起点中文网|||15/08/22 18:00|||正文　第三十二章 失踪儿童
