凡人的天国||| 代布口三两三|||http://image.qidian.com/books/1.jpg|||http://www.qidian.com/Book/2141959.aspx|||<p><p><p>                            &nbsp;&nbsp;&nbsp;&nbsp;
<p><p>                            　　时间是万物之敌，是大千世界最后的终结者，我们站在这里，不为争霸，不为荣耀，不为力量，不为智慧，不为文明，不为生命，只为万物久远；
<br>　　一粒一尘，一草一木，一花一叶，一饮一啄，皆立定数，使之为和，晋而太和；
<br>　　法权、公权、主权，权上有权；
<br>　　政府、议会、国家，天外有天；
<br>　　万物皆有主，存在即约束，生而有罪命破局；
<br>　　上下有序，内外分别；
<br>　　自由牵平等，兼爱连民主，理解离去，不宽恕背叛；
<br>　　自由而为之，自由而不为；
<br>　　天地作合方有万物生！
<br>　　休若在大龙庭议会上如是说！
<p><p></p>|||803585字|||122章|||起点中文网15/07/01 07:54|||降临—血岭荒原埋骨之地　第一百二十一章 不要了
