火影兑换系统||| 九代火影|||http://image.qidian.com/books/3461605/3461605.jpg|||http://www.qidian.com/Book/3461605.aspx|||<p><p><p>                            &nbsp;&nbsp;&nbsp;&nbsp;
<p><p>                            　　秦立带着火影兑换系统，穿越到了魔幻大陆，这里有剑修、蛮族、魔法师、召唤师……
<br>　　“秦立！那个法神他杀过来了！”
<br>　　“你退后，看我的忍术——砂瀑送葬！”
<br>　　“秦立！召唤师带着他们那浩浩荡荡的兽军要来灭我们！”
<br>　　“哼！我的尾兽们也不是吃素的！”
<br>　　“秦立！蛮族之王说要踏平我们？”
<br>　　“老子八门全开，他算毛线！”
<br>　　“秦立！魔神们说你是个妖物，要替天行道！”
<br>　　“喂！都这时候了，你挖这些上古魔神的坟墓干啥！”
<br>　　“嘿嘿……秽土转生，你不懂。”
<br>　　……
<p><p></p>|||580049字|||221章|||起点中文网15/09/05 00:03|||关于更新
